gauge_id;gauge_name;gauge_lat;gauge_lon;area_km2;mean_elev;max_elev;min_elev;p_mean_cr2met_1979_2010;aridity_cr2met_1979_2010;runoff_ratio_cr2met_1979_2010;hfd_mean;Regimen_Natural_Calidad;Proyecto_DGA;Para_Transferir;Observaciones;Considerar
4515002;Rio Mostazal En Caren;-30.8422;-70.7694;640.154425384245;2588.85698237201;4401;690;365.707059106797;2.31766445958331;21.6596576211973;0.414784394250513;SI;;;no nival;1
4522002;Rio Rapel En Junta;-30.7081;-70.8728;820.554115512545;2661.31614038346;4825;494;349.418204381064;2.38362305518889;21.1387615316789;0.378583922731767;SI;;;;1
4531002;Rio Cogoti Entrada Embalse Cogoti;-31.0325;-71.0403;753.074337540195;2123.72455506841;4089;638;300.609040960285;3.7280462810564;;0.428715223255628;SI;;;no nival;1
4703002;Rio Choapa En Cuncumen;-31.9667;-70.5944;1131.62589184279;3142.28886731627;5038;1153;371.591491260569;2.11012612411461;77.3384838422024;0.582614647501711;SI;SI;;;1
5100001;Rio Sobrante En Piadero;-32.2253;-70.7119;241.076708538332;2609.618284552;3721;1135;456.47293136814;1.97566240747966;34.6396486935393;0.456576881265854;SI;;;;1
5101001;Rio Pedernal En Tejada;-32.0708;-70.7564;81.1320203713954;2453.52405794216;3439;1335;401.296486995501;2.47279648289579;;0.443853927608005;SI;;;;1
5200001;Rio Alicahue En Colliguay;-32.33;-70.7381;348.027078784844;2402.60595804966;3985;832;448.856128186184;2.0773599297575;28.5354042505771;0.511401707554308;SI;;;;1
5401003;Rio Juncal En Juncal;-32.8625;-70.1675;343.096058333857;3661.93642787183;5924;2124;468.823389657684;1.13317500627738;125.004584152927;0.696174614039091;;SI;;;1
5410002;Rio Aconcagua En Chacabuquito;-32.8503;-70.5094;2113.42251245651;3177.58352222649;5924;936;461.612623240322;1.45123578396359;115.006163301256;0.663244353182752;SI;SI;;revisar RN;1
5411001;Estero Pocuro En El Sifon;-32.9164;-70.5403;180.975123719849;2006.07096058776;3591;1060;511.098336314762;2.05134720044125;32.6499964149911;0.419651684538749;SI;;;;1
5414001;Rio Putaendo En Resguardo Los Patos;-32.5017;-70.5811;885.274456328492;2920.60421482887;4667;1182;434.497958837839;1.70100165252915;71.723619361209;0.582553806373109;;SI;;;1
5707002;Rio Colorado Antes Junta Rio Maipo;-33.5875;-70.3669;1662.79765150944;3418.70531972989;6550;907;642.573517092374;0.952038737386283;99.545193278;0.675488630314092;;SI;;;1
5710001;Rio Maipo En El Manzano;-33.5939;-70.3792;4839.04678575914;3181.01652308362;6550;872;901.189302270377;0.74522802787463;89.8146656790358;0.646954140999316;SI;SI;;revisar RN;1
5721001;Estero Yerba Loca Antes Junta San Francisco;-33.3414;-70.3636;109.954908292085;3424.26320520162;5431;1348;534.442127258391;0.914177776864777;;0.700205338809035;SI;;;;1
5722001;Estero Arrayan En La Montosa;-33.3256;-70.4561;216.47019358091;2513.13194035129;3829;1050;646.934491341905;1.28347634823959;39.8650863467752;0.554962354551677;SI;;;revisar RN;1
5722002;Rio Mapocho En Los Almendros;-33.3703;-70.4508;637.959472962374;2779.00914902117;5431;968;534.625749056289;1.29669613991955;63.5036247849591;0.563039014373717;;SI;;;1
5730008;Quebrada Ramon En Recinto Emos;-33.4331;-70.5142;35.6314178243494;1982.55825426945;3252;847;511.636587653589;1.82392995623447;;0.418246970246004;SI;;;no nival;1
5741001;Estero Puangue En Boqueron;-33.1669;-71.1306;144.240073859076;1136.53391636454;2186;492;540.519575253663;2.21349830554194;30.6184188638405;0.350079853981292;SI;;;no nival;1
6003001;Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal;-34.3464;-70.3764;964.694487570419;2929.99878146192;5150;1104;1423.7081676187;0.480461454394299;;0.668231152830743;SI;;;no nival;1
6008005;Rio Cachapoal En Pte Termas De Cauquenes;-34.25;-70.5667;2461.60952532324;2639.84973134384;5150;697;1419.25441881187;0.539653198089999;;;;SI;;Q naturalizado?;1
6013001;Rio Claro En Hacienda Las Nieves;-34.4922;-70.7028;244.96851989894;2078.25799437483;3685;701;1627.19728532252;0.505152704315966;72.8432204044708;0.508936040763556;;SI;;;1
6027001;Rio Claro En El Valle;-34.6867;-70.8739;349.38209256895;1604.51091948615;3046;538;1486.29081635702;0.641817845850027;69.3947497165508;0.402786165801024;SI;;;;1
6028001;Rio Tinguiririca Bajo Los Briones;-34.7186;-70.8267;1438.27636387201;2549.82806799312;4962;560;1628.62925894142;0.4530120688834;81.0078865880547;0.630027781132988;;SI;;;1
7103001;Rio Claro En Los QueÑEs;-34.9983;-70.8094;354.4087650816;1856.57463218629;4077;662;1786.41511270773;0.532092677103871;99.3502712539121;0.468028387189741;SI;SI;;;1
7104002;Rio Teno Despues De Junta Con Claro;-34.9961;-70.8206;1205.26412270559;2090.30335117901;4077;644;1739.51216942786;0.505054291346847;92.494525189218;0.536208076659822;;SI;;;1
7112001;Rio Colorado En Junta Con Palos;-35.2783;-71.0028;877.886641990868;2288.16655162912;4074;636;1874.92476221415;0.436309878936637;84.5520703437097;0.557837097878166;SI;;;;1
7115001;Rio Palos En Junta Con Colorado;-35.2744;-71.0156;489.998400708334;1973.43747204112;3282;581;1966.29027048347;0.451892372232052;98.6464685547255;0.514860045390683;SI;;;;1
7117008;Rio Lontue en Puente El Yacal;-35.1839;-71.1161;;;;;;;;;;;SI;cuenca Corfo;1
7317005;Rio Melado En El Salto;-35.8842;-71.0192;2127.55100228503;1964.25323025473;3626;710;1830.7563583816;0.54148292378974;;;;;SI;cuenca Corfo;1
7321002;Rio Maule En Armerillo;-35.7061;-71.1139;5468.95939776976;2046.95917290861;3952;461;1711.33836666389;0.551322621833403;;;;SI;;Q naturalizado, cuenca Corfo;1
7330001;Rio Perquilauquen En San Manuel;-36.3758;-71.6233;502.399321016515;1100.31283019156;2230;265;2069.46660951606;0.530478044296369;98.8757103745053;0.31211498973306;SI;;;no nival;1
7350003;Rio Longavi En El Castillo;-36.2558;-71.3375;466.853492618221;1563.59753409765;3195;606;2087.31728074514;0.476795526645304;119.086762235338;0.323826906989125;SI;;;cuenca Corfo;1
7354002;Rio Achibueno En La Recova;-36.0028;-71.4419;894.349956894797;1328.90690857473;3197;301;2019.45051261838;0.530988485514193;;0.354191433408986;SI;;;cuenca Corfo;1
7355002;Rio Ancoa En El Morro;-35.9086;-71.2981;273.824426831765;1382.49810708186;3090;399;2042.87481795716;0.505253457548118;130.963834380284;0.432902524459477;;;SI;cuenca Corfo;1
7358001;Rio Putagan En Yerbas Buenas;-35.7719;-71.585;390.487140100755;471.503696991448;2025;119;1355.42135970878;0.926872019183618;137.473216228602;0.3923179127914;SI;;;no nival;1
7381001;Estero Los Puercos En Puente Los Puercos;-35.3736;-71.8292;558.825299231716;205.547784770849;833;15;814.043591169285;1.61420287230495;;0.395115097806116;SI;;;no nival;1
8104001;Rio Sauces Antes Junta Con ÑUble;-36.6653;-71.2739;606.704580258797;1682.94854658216;2669;684;1954.10123093994;0.545932802617168;90.0621217682258;0.432717316906229;SI;;;;1
8106001;Rio ÑUble En San Fabian;-36.5703;-71.5547;1657.9156619667;1593.54137744661;3189;386;2064.9113687683;0.498046387567811;;;;SI;;;1
